year_month,depot,monthly
11-01,10063.18,63.179999999999666
11-02,10262.679999999998,199.49999999999952
11-03,10332.449999999997,69.76999999999981
11-04,10538.409999999994,205.9599999999998
11-05,10576.199999999992,37.79000000000032
11-06,10356.599999999993,-219.60000000000073
11-07,10210.509999999995,-146.08999999999975
11-08,9787.349999999995,-423.16000000000054
11-09,9051.819999999994,-735.53
11-10,9851.369999999994,799.55
11-11,10292.729999999992,441.35999999999933
11-12,10644.84999999999,352.1199999999997
12-01,11197.399999999989,552.5500000000001
12-02,11404.26999999999,206.8700000000002
12-03,11764.419999999991,360.15
12-04,11796.289999999994,31.869999999999834
12-05,11790.649999999994,-5.640000000000047
12-06,12171.389999999996,380.73999999999995
12-07,12335.849999999997,164.45999999999964
12-08,12893.679999999997,557.8300000000004
12-09,13232.229999999998,338.55000000000035
12-10,13067.789999999997,-164.44000000000017
12-11,13269.829999999996,202.03999999999994
12-12,13443.829999999998,173.9999999999999
13-01,14126.699999999997,682.8699999999998
13-02,14651.269999999997,524.57
13-03,15530.129999999997,878.86
13-04,15906.209999999997,376.08000000000027
13-05,16829.96,923.7500000000002
13-06,16899.22,69.25999999999934
13-07,17754.879999999997,855.6600000000003
13-08,16828.85,-926.0300000000001
13-09,17360.749999999996,531.8999999999992
13-10,17887.78,527.0300000000004
13-11,18113.009999999995,225.22999999999914
13-12,18669.879999999997,556.8699999999998
14-01,18158.959999999995,-510.9200000000001
14-02,18158.959999999995,0.0
14-03,18826.829999999994,667.8699999999998
14-04,18609.169999999995,-217.65999999999968
14-05,19028.109999999997,418.93999999999994
14-06,19455.64,427.53000000000077
14-07,18807.37,-648.2699999999999
14-08,18803.64,-3.729999999999258
14-09,18476.24,-327.4000000000006
14-10,19359.140000000003,882.9000000000005
14-11,18996.680000000004,-362.46000000000015
14-12,19216.350000000002,219.67000000000075
15-01,18545.260000000002,-671.0899999999997
15-02,19230.25,684.9899999999998
15-03,18594.9,-635.3500000000004
15-04,18550.870000000003,-44.029999999999546
15-05,18778.02,227.14999999999978
15-06,17917.95,-860.07
15-07,17917.95,0.0
15-08,17260.28,-657.6699999999996
15-09,17260.28,0.0
15-10,18325.539999999997,1065.2600000000004
15-11,18679.899999999998,354.3599999999995
