Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
15-06,AAPL,32.57,31.36,31.0,-3.737,0.3691,44.0695,0.0001,8.0003,1.9504
15-06,CRM,72.79,69.63,65.48,-4.1769,4.1904,38.2291,5.0002,4.0003,6.126
15-06,CTAS,21.6,21.15,20.49,-1.6869,0.0463,38.5866,10.0002,18.0003,3.4579
15-06,DLTR,74.65,78.99,77.34,5.3683,0.9441,41.4105,2.0001,18.0004,-5.5444
15-06,EFX,100.35,97.09,92.26,-3.1828,0.4317,41.7291,2.0002,5.0003,7.4798
15-06,ORLY,220.8,225.98,209.49,2.9824,0.072,48.3812,4.0002,15.0004,5.8537
15-06,STZ,118.79,116.02,114.85,-1.4707,0.2677,40.1284,-0.9998,8.0003,3.1375
15-06,TGT,79.5,81.63,78.69,2.9574,1.7012,39.7463,12.0001,21.0003,3.5647
15-06,UAA,39.29,41.72,38.23,6.4857,0.0382,54.3808,1.0001,4.0002,2.4402
15-06,ZTS,49.92,48.22,45.78,-1.6085,5.2876,62.1173,2.0001,15.0004,8.0829
