Date,Open,High,Low,Close,Adj Close,Volume,next1_Date,next2_Date,next1_Open,next2_Open,sma_200,sma_50,sma_200_pct,Volume_sma_20,atr,rsi,aroon,symbol,date,days,start
2022-11-30,51.55,51.9,50.17,51.08,51.08,1165700.0,2022-12-01,2022-12-02,51.76,49.28,44.11,45.93,0.5231353591160219,1078450.0,5.285826155050901,54.0,65.0,hp,2022-11-30,0.0,2022-11-30
2022-11-30,47.58,47.62,45.84,47.2,47.2,1016700.0,2022-12-01,2022-12-02,47.8,45.8,38.61,44.36,0.5364106645443694,1539040.0,4.936440677966101,53.0,35.0,mur,2022-11-30,0.0,2022-11-30
2022-11-30,12.67,12.93,12.36,12.86,12.86,4553200.0,2022-12-01,2022-12-02,12.94,12.39,10.02,10.95,0.5368098159509203,2254700.0,3.654743390357698,64.0,85.0,enlc,2022-11-30,0.0,2022-11-30
2022-11-30,55.55,56.66,54.38,55.76,55.76,21331900.0,2022-12-01,2022-12-02,56.14,54.0,49.89,51.67,0.553721582061663,4619395.0,4.949784791965566,55.0,40.0,ovv,2022-11-30,0.0,2022-11-30
2022-11-30,47.47,47.65,46.0,46.85,46.85,9011400.0,2022-12-01,2022-12-02,47.5,46.19,39.97,42.97,0.6654166666666665,6662800.0,4.951974386339381,54.0,10.0,apa,2022-11-30,0.0,2022-11-30
2022-11-30,96.7,99.16,94.14,99.16,99.16,2363900.0,2022-12-01,2022-12-02,100.34,96.6,89.95,94.94,0.70586004172198,1980675.0,5.687777329568374,52.0,30.0,sqm,2022-11-30,0.0,2022-11-30
2022-11-30,107.45,109.0,103.41,108.19,108.19,8646900.0,2022-12-01,2022-12-02,108.6,103.59,97.85,103.55,0.7169678891033513,2893030.0,5.176079120066549,53.0,30.0,cf,2022-11-30,0.0,2022-11-30
2022-11-30,16.61,16.86,15.95,16.77,16.77,2990500.0,2022-12-01,2022-12-02,16.9,16.56,10.32,13.99,0.7344537815126051,2849810.0,6.440071556350627,61.0,80.0,cprx,2022-11-30,0.0,2022-11-30
2022-11-30,51.73,51.81,50.35,51.02,51.02,1050700.0,2022-12-01,2022-12-02,51.04,50.64,34.72,47.08,1.0666666666666664,1196130.0,4.900039200313603,55.0,25.0,stng,2022-11-30,0.0,2022-11-30
2022-11-30,76.02,78.33,75.7,77.45,77.45,1100400.0,2022-12-01,2022-12-02,77.8,71.98,54.54,65.51,1.452338129496403,764160.0,5.190445448676565,65.0,60.0,ceix,2022-11-30,0.0,2022-11-30
2022-12-01,12.94,13.06,12.58,12.62,12.62,1794500.0,2022-12-02,2022-12-05,12.39,12.81,10.05,11.0,0.536697247706422,2214325.0,3.6450079239302697,61.0,90.0,enlc,2022-12-01,1.0,2022-11-30
2022-12-01,56.14,57.13,54.36,54.51,54.51,3144200.0,2022-12-02,2022-12-05,54.0,56.54,49.96,51.8,0.5520347934141039,4618335.0,5.118326912493121,52.0,40.0,ovv,2022-12-01,1.0,2022-11-30
2022-12-01,47.5,48.08,46.48,46.72,46.72,5264900.0,2022-12-02,2022-12-05,46.19,48.07,40.04,43.14,0.6641729010806319,6541505.0,4.944349315068494,54.0,10.0,apa,2022-12-01,1.0,2022-11-30
2022-12-01,16.9,16.9,16.27,16.63,16.63,1846900.0,2022-12-02,2022-12-05,16.56,17.36,10.36,14.08,0.7382550335570468,2867630.0,6.494287432351173,60.0,80.0,cprx,2022-12-01,1.0,2022-11-30
2022-12-01,51.04,52.19,50.62,50.9,50.9,1406400.0,2022-12-02,2022-12-05,50.64,54.55,34.9,47.23,1.0798569725864122,1212110.0,4.852652259332024,55.0,25.0,stng,2022-12-01,1.0,2022-11-30
2022-12-01,37.01,37.09,35.2,35.32,35.32,1741500.0,2022-12-02,2022-12-05,34.89,36.4,29.47,33.36,0.4705588822355289,1691830.0,4.813137032842582,52.0,35.0,nog,2022-12-01,0.0,2022-12-01
2022-12-01,43.9,44.02,43.2,43.45,43.45,1816000.0,2022-12-02,2022-12-05,42.92,41.58,35.83,41.27,0.47266748869708186,1726910.0,2.646720368239355,57.0,95.0,hrb,2022-12-01,0.0,2022-12-01
2022-12-01,134.84,135.82,131.69,132.03,132.03,4563400.0,2022-12-02,2022-12-05,131.57,127.89,113.16,124.12,0.5172968624296057,3847390.0,3.597667196849201,53.0,65.0,vlo,2022-12-01,0.0,2022-12-01
2022-12-01,122.7,123.09,120.18,120.23,120.23,3243600.0,2022-12-02,2022-12-05,119.64,118.75,95.71,112.0,0.5201715374841167,3490480.0,2.994260999750478,56.0,75.0,mpc,2022-12-01,0.0,2022-12-01
2022-12-01,15.19,15.46,14.77,15.13,15.13,1454800.0,2022-12-02,2022-12-05,15.0,16.16,8.31,12.17,1.1753926701570685,821545.0,4.7587574355584925,65.0,60.0,asc,2022-12-01,0.0,2022-12-01
2022-12-02,42.92,43.09,42.16,42.38,42.38,1359400.0,2022-12-05,2022-12-06,41.58,42.33,35.92,41.23,0.4751540041067761,1654845.0,2.595563945257197,52.0,90.0,hrb,2022-12-02,1.0,2022-12-01
2022-12-02,119.64,121.19,117.57,118.23,118.23,3889000.0,2022-12-05,2022-12-06,118.75,111.81,95.91,112.45,0.5209324452901998,3532830.0,2.960331557134399,53.0,55.0,mpc,2022-12-02,1.0,2022-12-01
2022-12-02,12.39,12.75,12.36,12.74,12.74,1583300.0,2022-12-05,2022-12-06,12.81,12.4,10.07,11.07,0.5350609756097562,2215710.0,3.610675039246468,62.0,90.0,enlc,2022-12-02,2.0,2022-11-30
